wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,compressionratio,horsepower,citympg,highwaympg,price,price_log,enginesize_log,curbweight_log,fueltype_diesel,fueltype_gas,aspiration_std,aspiration_turbo,carbody_convertible,carbody_hatchback,carbody_sedan,drivewheel_fwd,drivewheel_rwd,enginelocation_front,enginelocation_rear,enginetype_dohc,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_idi,fuelsystem_mpfi,gama
88.6,168.8,64.1,48.8,2548,130,3.47,9.0,111,21,27,13495.0,9.510074525452104,4.867534450455582,7.843064016692054,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
88.6,168.8,64.1,48.8,2548,130,3.47,9.0,111,21,27,16500.0,9.711115659888671,4.867534450455582,7.843064016692054,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
94.5,171.2,65.5,52.4,2823,152,2.68,9.0,154,19,26,16500.0,9.711115659888671,5.0238805208462765,7.945555428253489,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
99.8,176.6,66.2,54.3,2337,109,3.19,10.0,102,24,30,13950.0,9.543234787249512,4.691347882229144,7.756623334538858,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
99.4,176.6,66.4,54.3,2824,136,3.19,8.0,115,18,22,17450.0,9.767094927630572,4.912654885736052,7.945909598613133,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
99.8,177.3,66.3,53.1,2507,136,3.19,8.5,110,19,25,15250.0,9.632334782035558,4.912654885736052,7.826842098158293,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
105.8,192.7,71.4,55.7,2844,136,3.19,8.5,110,19,25,17710.0,9.78188473077688,4.912654885736052,7.952966790923131,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
105.8,192.7,71.4,55.7,2954,136,3.19,8.5,110,19,25,18920.0,9.847974842605868,4.912654885736052,7.990915463091325,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
105.8,192.7,71.4,55.9,3086,131,3.13,8.3,140,17,20,23875.0,10.08058716534893,4.875197323201151,8.034631032923107,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
99.5,178.2,67.9,52.0,3053,131,3.13,7.0,160,16,22,17859.167,9.790272212805272,4.875197323201151,8.023879992734878,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
101.2,176.8,64.8,54.3,2395,108,3.5,8.8,101,23,29,16430.0,9.706864211031316,4.68213122712422,7.781138509845015,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
101.2,176.8,64.8,54.3,2395,108,3.5,8.8,101,23,29,16925.0,9.736547097780475,4.68213122712422,7.781138509845015,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
101.2,176.8,64.8,54.3,2710,164,3.31,9.0,121,21,28,20970.0,9.950848123895966,5.099866427824199,7.904703913873747,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
101.2,176.8,64.8,54.3,2765,164,3.31,9.0,121,21,28,21105.0,9.9572652582166,5.099866427824199,7.9247959139564355,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
103.5,189.0,66.9,55.7,3055,164,3.31,9.0,121,20,25,24565.0,10.109077944602747,5.099866427824199,8.024534871605695,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
103.5,189.0,66.9,55.7,3230,209,3.62,8.0,182,16,22,30760.0,10.33397042361958,5.342334251964811,8.080237416216702,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
110.0,197.0,70.9,56.3,3505,209,3.62,8.0,182,15,20,36880.0,10.51542467767053,5.342334251964811,8.16194579946869,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
88.4,141.1,60.3,53.2,1488,61,2.91,9.5,48,47,53,5151.0,8.546946149565585,4.110873864173311,7.305188215393037,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
94.5,155.9,63.6,52.0,1874,90,3.03,9.6,70,38,43,6295.0,8.747510946478448,4.499809670330265,7.535830462798367,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,158.8,63.6,52.0,1909,90,3.03,9.6,70,38,43,6575.0,8.791029857045965,4.499809670330265,7.554334823725748,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,63.8,50.8,1876,90,2.97,9.41,68,37,41,5572.0,8.625509334899697,4.499809670330265,7.53689712956617,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,63.8,50.8,1876,90,2.97,9.4,68,31,38,6377.0,8.760453046315272,4.499809670330265,7.53689712956617,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,63.8,50.8,2128,98,3.03,7.6,102,24,30,7957.0,8.981807323377534,4.584967478670572,7.662937850461535,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
93.7,157.3,63.8,50.6,1967,90,2.97,9.4,68,31,38,6229.0,8.736971085254146,4.499809670330265,7.584264818389059,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,63.8,50.6,1989,90,2.97,9.4,68,31,38,6692.0,8.808668062106715,4.499809670330265,7.595387278853972,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,63.8,50.6,1989,90,2.97,9.4,68,31,38,7609.0,8.937087036176523,4.499809670330265,7.595387278853972,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,63.8,50.6,2191,98,3.03,7.6,102,24,30,8558.0,9.054621796976765,4.584967478670572,7.692113339595466,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
103.3,174.6,64.6,59.8,2535,122,3.34,8.5,88,24,30,8921.0,9.096163326913784,4.804021044733257,7.837948916025283,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
95.9,173.2,66.3,50.2,2811,156,3.6,7.0,145,19,24,12964.0,9.469931564261438,5.049856007249537,7.941295570906532,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
86.6,144.6,63.9,50.8,1713,92,2.91,9.6,58,49,54,6479.0,8.776321456449958,4.5217885770490405,7.44600149832412,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
86.6,144.6,63.9,50.8,1819,92,2.91,9.2,76,31,38,6855.0,8.832733591996416,4.5217885770490405,7.506042178518122,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
93.7,150.0,64.0,52.6,1837,79,2.91,10.1,60,38,42,5399.0,8.593969030218288,4.3694478524670215,7.515889085215125,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
93.7,150.0,64.0,52.6,1940,92,2.91,9.2,76,30,34,6529.0,8.784009071186633,4.5217885770490405,7.570443252057374,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
93.7,150.0,64.0,52.6,1956,92,2.91,9.2,76,30,34,7129.0,8.871926251117628,4.5217885770490405,7.578656850594762,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
96.5,163.4,64.0,54.5,2010,92,2.91,9.2,76,30,34,7295.0,8.894944460956886,4.5217885770490405,7.605890001053122,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
96.5,157.1,63.9,58.3,2024,92,2.92,9.2,76,30,34,7295.0,8.894944460956886,4.5217885770490405,7.6128310304073565,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
96.5,167.5,65.2,53.3,2236,110,3.15,9.0,86,27,33,7895.0,8.973984926689743,4.700480365792417,7.71244383427499,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
96.5,167.5,65.2,53.3,2289,110,3.15,9.0,86,27,33,9095.0,9.115480090952223,4.700480365792417,7.735870319952567,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
96.5,175.4,65.2,54.1,2304,110,3.15,9.0,86,27,33,8845.0,9.087607606593886,4.700480365792417,7.742402021815782,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
96.5,175.4,62.5,54.1,2372,110,3.15,9.0,86,27,33,10295.0,9.23941361946189,4.700480365792417,7.771488760117616,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
96.5,175.4,65.2,54.1,2465,110,3.15,9.0,101,24,28,12945.0,9.468464892185638,4.700480365792417,7.80994708647679,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
96.5,169.1,66.0,51.0,2293,110,3.15,9.1,100,25,31,10345.0,9.244258590179644,4.700480365792417,7.737616282857904,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.3,170.7,61.8,53.5,2337,111,3.31,8.5,78,24,29,6785.0,8.82246957226897,4.709530201312334,7.756623334538858,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,155.9,63.6,52.0,1874,90,3.03,9.6,70,38,43,8916.5,9.095658771892568,4.499809670330265,7.535830462798367,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,155.9,63.6,52.0,1909,90,3.03,9.6,70,38,43,8916.5,9.095658771892568,4.499809670330265,7.554334823725748,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
96.0,172.6,65.2,51.4,2734,119,3.43,9.2,90,24,29,11048.0,9.310004695089129,4.77912349311153,7.913521017283895,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
113.0,199.6,69.6,52.8,4066,258,3.63,8.1,176,15,19,32250.0,10.38127332222392,5.552959584921617,8.310414994188292,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
113.0,199.6,69.6,52.8,4066,258,3.63,8.1,176,15,19,35550.0,10.478695435231389,5.552959584921617,8.310414994188292,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
102.0,191.7,70.6,47.8,3950,326,3.54,11.5,262,13,17,36000.0,10.491274217438248,5.786897381366708,8.281470857895167,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
93.1,159.1,64.2,54.1,1890,91,3.03,9.0,68,30,31,5195.0,8.555451903533328,4.51085950651685,7.544332108053688,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.1,159.1,64.2,54.1,1900,91,3.03,9.0,68,31,38,6095.0,8.715224041915372,4.51085950651685,7.549609165154532,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.1,159.1,64.2,54.1,1905,91,3.03,9.0,68,31,38,6795.0,8.823942326585245,4.51085950651685,7.552237287560802,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.1,166.8,64.2,54.1,1945,91,3.03,9.0,68,31,38,6695.0,8.809116258125274,4.51085950651685,7.573017256052546,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.1,166.8,64.2,54.1,1950,91,3.08,9.0,68,31,38,7395.0,8.9085593751449,4.51085950651685,7.575584651557793,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
95.3,169.0,65.7,49.6,2380,70,3.33,9.4,101,17,23,10945.0,9.300638009956964,4.248495242049359,7.77485576666552,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.3,169.0,65.7,49.6,2380,70,3.33,9.4,101,17,23,11845.0,9.379661116592883,4.248495242049359,7.77485576666552,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.3,169.0,65.7,49.6,2385,70,3.33,9.4,101,17,23,13645.0,9.521128433142438,4.248495242049359,7.776954403322442,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95.3,169.0,65.7,49.6,2500,80,3.33,9.4,135,16,23,15645.0,9.657906656102982,4.382026634673881,7.824046010856292,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
98.8,177.8,66.5,53.7,2385,122,3.39,8.6,84,26,32,8845.0,9.087607606593886,4.804021044733257,7.776954403322442,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
98.8,177.8,66.5,55.5,2410,122,3.39,8.6,84,26,32,8495.0,9.047233034106032,4.804021044733257,7.787382026484701,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
98.8,177.8,66.5,53.7,2385,122,3.39,8.6,84,26,32,10595.0,9.2681374707024,4.804021044733257,7.776954403322442,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
98.8,177.8,66.5,55.5,2410,122,3.39,8.6,84,26,32,10245.0,9.234545060673,4.804021044733257,7.787382026484701,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
98.8,177.8,66.5,55.5,2443,122,3.39,22.7,64,36,42,10795.0,9.286838342948908,4.804021044733257,7.8009820712577405,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
98.8,177.8,66.5,55.5,2425,122,3.39,8.6,84,26,32,11245.0,9.327678864393416,4.804021044733257,7.793586803371584,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
104.9,175.0,66.1,54.4,2670,140,3.76,8.0,120,19,27,18280.0,9.81356284500814,4.941642422609304,7.889833751394295,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
104.9,175.0,66.1,54.4,2700,134,3.43,22.0,72,31,39,18344.0,9.81705782453774,4.897839799950911,7.90100705199242,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
110.0,190.9,70.3,56.5,3515,183,3.58,21.5,123,22,25,25552.0,10.148470870454794,5.209486152841421,8.164794804244766,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
110.0,190.9,70.3,58.7,3750,183,3.58,21.5,123,22,25,28248.0,10.248777937608224,5.209486152841421,8.229511118964457,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
106.7,187.5,70.3,54.9,3495,183,3.58,21.5,123,22,25,28176.0,10.246225830735987,5.209486152841421,8.15908865466791,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
115.6,202.6,71.7,56.3,3770,183,3.58,21.5,123,22,25,31600.0,10.360912399575003,5.209486152841421,8.234830280442056,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
115.6,202.6,71.7,56.5,3740,234,3.46,8.3,155,16,18,34184.0,10.439512977323862,5.455321115357702,8.226840890408578,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
96.6,180.3,70.5,50.8,3685,234,3.46,8.3,155,16,18,35056.0,10.464702061835249,5.455321115357702,8.212025804623437,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
102.7,178.4,68.0,54.8,2910,140,3.78,8.0,175,19,24,16503.0,9.711297461543568,4.941642422609304,7.975908360165538,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
93.7,157.3,64.4,50.8,1918,92,2.97,9.4,68,37,41,5389.0,8.592115117933497,4.5217885770490405,7.559038255443384,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,64.4,50.8,1944,92,2.97,9.4,68,31,38,6189.0,8.73052880173936,4.5217885770490405,7.572502985020384,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,64.4,50.8,2004,92,2.97,9.4,68,31,38,6669.0,8.805225202632306,4.5217885770490405,7.602900462204755,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.0,157.3,63.8,50.8,2145,98,3.03,7.6,102,24,30,7689.0,8.94754601503218,4.584967478670572,7.670894831362117,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
96.3,173.0,65.4,49.4,2370,110,3.17,7.5,116,23,30,9959.0,9.20623194393164,4.700480365792417,7.770645234129176,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
96.3,173.0,65.4,49.4,2328,122,3.35,8.5,88,25,32,8499.0,9.047703788498628,4.804021044733257,7.752764808851328,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
95.9,173.2,66.3,50.2,2833,156,3.58,7.0,145,19,24,12629.0,9.44375103564617,5.049856007249537,7.949091499830517,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
95.9,173.2,66.3,50.2,2921,156,3.59,7.0,145,19,24,14869.0,9.607033787697222,5.049856007249537,7.979681302387741,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
95.9,173.2,66.3,50.2,2926,156,3.59,7.0,145,19,24,14489.0,9.581145019820722,5.049856007249537,7.98139158158007,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
96.3,172.4,65.4,51.6,2365,122,3.35,8.5,88,25,32,6989.0,8.85209276347713,4.804021044733257,7.768533300926033,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
96.3,172.4,65.4,51.6,2405,122,3.35,8.5,88,25,32,8189.0,9.010547069270189,4.804021044733257,7.785305182539862,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
96.3,172.4,65.4,51.6,2403,110,3.17,7.5,116,23,30,9279.0,9.13550906135318,4.700480365792417,7.784473235736469,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
96.3,172.4,65.4,51.6,2403,110,3.17,7.5,116,23,30,9279.0,9.13550906135318,4.700480365792417,7.784473235736469,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
94.5,165.3,63.8,54.5,1889,97,3.15,9.4,69,31,37,5499.0,8.612321536507814,4.574710978503383,7.543802867501509,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,165.3,63.8,54.5,2017,103,2.99,21.9,55,45,50,7099.0,8.867709208039386,4.634728988229636,7.6093665379542115,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
94.5,165.3,63.8,54.5,1918,97,3.15,9.4,69,31,37,6649.0,8.802221746402456,4.574710978503383,7.559038255443384,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,165.3,63.8,54.5,1938,97,3.15,9.4,69,31,37,6849.0,8.831857935197906,4.574710978503383,7.569411792450712,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,170.2,63.8,53.5,2024,97,3.15,9.4,69,31,37,7349.0,8.90231952852887,4.574710978503383,7.6128310304073565,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,165.3,63.8,54.5,1951,97,3.15,9.4,69,31,37,7299.0,8.895492631451633,4.574710978503383,7.576097340623111,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,165.6,63.8,53.3,2028,97,3.15,9.4,69,31,37,7799.0,8.961750799330497,4.574710978503383,7.614805364711073,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,165.3,63.8,54.5,1971,97,3.15,9.4,69,31,37,7499.0,8.92252495730139,4.574710978503383,7.58629630715272,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,170.2,63.8,53.5,2037,97,3.15,9.4,69,31,37,7999.0,8.987071812848821,4.574710978503383,7.619233416226805,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
95.1,162.4,63.8,53.3,2008,97,3.15,9.4,69,31,37,8249.0,9.017847259860732,4.574710978503383,7.60489448081162,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
97.2,173.4,65.2,54.7,2324,120,3.33,8.5,97,27,34,8949.0,9.09929707318286,4.787491742782046,7.751045117971802,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
97.2,173.4,65.2,54.7,2302,120,3.33,8.5,97,27,34,9549.0,9.164191715950205,4.787491742782046,7.741533589281828,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
